TRMC (台灣區預拌混凝土工業同業公會) 會員名錄 — 全 22 頁
共 421 筆
========================================================

16. 國普混凝土工業股份有限公司 | 桃園市蘆竹區興隆街42號
17. 和昌國際工業股份有限公司觀音廠 | 桃園市觀音區快速路9段2276巷11號
18. 武雄實業股份有限公司觀音廠 | 桃園市觀音區草漯里14鄰忠孝路645號
19. 樺勝環保事業股份有限公司觀音廠 | 桃園市觀音區經建五路10號
20. 慶皇水泥股份有限公司 | 桃園市觀音區廣興里保興路一段228號

--- Page 5 (20 筆) ---
1. 昇群水泥製品有限公司 | 新竹市中華路一段1巷26號
2. 國產建材實業股份有限公司新竹廠 | 新竹市中華路六段646號
3. 台灣水泥(股)公司台北水泥製品廠新竹分廠 | 新竹市竹北市博愛街792號
4. 南工實業股份有限公司 | 新竹市東大路三段274號
5. 國順預拌混凝土股份有限公司新竹廠 | 新竹市東區中華路一段1巷26-1號
6. 泰欣混凝土製品有限公司 | 新竹市香山區海山里大湖路167巷59-1號
7. 國產建材實業股份有限公司竹北廠 | 新竹縣竹北市東興路二段588巷90號
8. 鍵蒼企業股份有限公司竹北廠 | 302 新竹縣竹北市保泰五路115號
9. 亞興水泥製品股份有限公司 | 新竹縣竹北市泰和里泰和路184號
10. 永炬企業股份有限公司 | 新竹縣竹東鎮仁愛里北岸6號
11. 永瑄股份有限公司竹東廠 | 新竹縣竹東鎮仁愛里北岸8號
12. 凱程工業股份有限公司 | 新竹縣竹東鎮員山路435巷18號
13. 錦聯實業股份有限公司 | 新竹縣湖口鄉中正路二段88號
14. 永協企業股份有限公司 | 新竹縣湖口鄉成功路910號
15. 鼎新行 | 新竹縣湖口鄉和豐路65巷67號
16. 琨鈺企業有限公司 | 新竹縣湖口鄉湖鏡段126地號
17. 毅和實業有限公司寶山廠 | 新竹縣寶山鄉雙溪村三峰路二段387號
18. 玖豐預拌混凝土有限公司苗栗廠 | 後龍鎮福寧里3鄰頭湖26之8號
19. 甲騰企業有限公司 | 苗栗縣三義鄉鯉魚潭村1鄰鯉魚口1之20號
20. 嘉德混凝土股份有限公司 | 苗栗縣三灣鄉三灣36之1號

--- Page 6 (20 筆) ---
1. 幸福有限公司 | 苗栗縣三灣鄉銅鏡村四鄰坡頭背6-1號
2. 協鑫混凝土股份有限公司 | 苗栗縣大湖鄉富興村八鄰八寮灣25之15號
3. 國順預拌混凝土股份有限公司苗栗分公司竹南廠 | 苗栗縣竹南鎮仁愛路1633號
4. 永矩企業股份有限公司 | 苗栗縣竹南鎮公館仔79號
5. 弘喬有限公司竹南廠 | 苗栗縣竹南鎮公館里大埔頂9-18號
6. 毅和實業有限公司大厝廠 | 苗栗縣竹南鎮真和路253巷26號
7. 上禹水泥製品股份有限公司 | 苗栗縣竹南鎮崎頂里崎腳三六之四三號
8. 毅和實業有限公司 | 苗栗縣竹南鎮港墘里三鄰港仔墘29之12號
9. 俊瑾企業有限公司 | 苗栗縣南庄鄉員林村2鄰下員里68之20號
10. 立順興資源科技股份有限公司 | 苗栗縣後龍鎮龍坑里17鄰十班坑176-12號
11. 錦鋒混凝土股份有限公司 | 苗栗縣後龍鎮龍坑里十班坑171-7號
12. 頭份混凝土有限公司 | 苗栗縣苗栗市文聖里21鄰文山231之2號
13. 新亞拌合企業社苗栗廠 | 苗栗縣苗栗市文聖里文山228之3號
14. 寰瑋實業有限公司 | 苗栗縣苗栗市新川里大坑12-2號
15. 耐用水泥製品股份有限公司 | 苗栗縣苑裡鎮南房69之3號
16. 協發企業股份有限公司 | 苗栗縣苑裡鎮苑港10-27號
17. 平順混凝土股份有限公司 | 苗栗縣造橋鄉九車籠47-1號
18. 福宏實業股份有限公司 | 苗栗縣銅鑼鄉中平村20鄰70份101號
19. 國順預拌混凝土股份有限公司苗栗廠 | 苗栗縣銅鑼鄉中興路18-1號
20. 國產建材實業股份有限公司苗栗廠 | 苗栗縣銅鑼鄉忠興街2號

--- Page 7 (20 筆) ---
1. 佾泰企業股份有限公司 | 苗栗縣頭份市下興里7鄰74之5號
2. 志竹實業有限公司 | 苗栗縣頭份鎮信義路771號
3. 民峰實業股份有限公司大安預拌混凝土廠 | 台中市大安區東西三路12號
4. 台灣水泥股份有限公司台中水泥製品廠大肚分廠 | 台中市大肚區沙田路二段303號
5. 錢宏興業股份有限公司二廠 | 台中市大肚區沙田路三段245巷62號
6. 中來工業股份有限公司 | 台中市大里區夏田里環河路一段188號
7. 巨力混凝土工業股份有限公司大里廠 | 台中市大里區夏田里環河路一段260號
8. 峰鋼實業有限公司 | 台中市大里區塗城里健東路159號
9. 明威開發工程有限公司 | 台中市大里區環河路一段12號
10. 台灣水泥股份有限公司台中水泥製品廠 | 台中市大雅區中清路三段785號
11. 廣獲企業股份有限公司 | 台中市大雅區六寶里32鄰文化路145號
12. 巨力混凝土工業股份有限公司 | 台中市大雅區民生路三段295號
13. 佳生砂石企業股份有限公司大雅廠 | 台中市大雅區西寶里昌平路三段620巷27.29號
14. 民峰實業股份有限公司大雅預拌混凝土廠 | 台中市大雅區雅潭路四段345號
