#,公司名稱,廠址/據點,資本額,設立年份,負責人,集團/關係企業,備註
1,宜興預拌混凝土（股）,冬山鄉龍德工業區德興六路43號（總部：冬山一廠）,1.72億,1996,李興和,宜蘭最大業者GRMC#040；另有三芝廠,龍德工業區3廠（一廠二廠三廠）+宜蘭梅洲廠共4廠
2,台泥台北水泥製品廠宜蘭分廠,員山鄉蓁巷村員山路二段438號,台泥集團,2001,洪崇智（廠長）,台泥集團（GRMC#109）；1套拌和設備+19車,全台最大水泥集團在宜唯一預拌混凝土據點
3,久屋預拌混凝土（股）,冬山鄉大興村龍祥十路19號,8,000萬,1982,簡志耀,龍德工業區；員工26人,老牌在地廠
4,立泰預拌混凝土工業（股）,冬山鄉大興村龍祥十路5號,5,000萬,1993,楊欣浩,龍德工業區；員工34人,兼營瀝青混凝土
5,享正實業（股）,冬山鄉大興村德興一路42號,4,968萬,1987,林文政,龍德工業區；ISO9002；2套拌合機+15車,—
6,得福混凝土工業（股）,冬山鄉南興村成興路42號,6,000萬,1979,連志峯,連家家族企業（與福得混凝土關聯）,老牌在地廠
7,福得混凝土工業（股）,宜蘭市梅洲二路97號,4,160萬,1985,吳智翔,連志峯為董事（與得福關聯）,梅洲工業區
8,潤泰精密材料（股）宜蘭冬山廠,冬山鄉安平村大安路357號,潤泰集團（母公司資本30億）,2009,李宜哲（分公司經理）,潤泰集團；原力霸水泥冬山廠,水泥研磨+乾粉砂漿+預拌混凝土
